gene_id	description	gene_name
ENSG00000172232	AZU1	AZU1
ENSG00000135404	CD63	CD63
ENSG00000066294	CD84	CD84
ENSG00000124469	CD66b / CEACAM8	CEACAM8
ENSG00000100448	cathepsin G	CTSG
ENSG00000163739	CXCL1	CXCL1
ENSG00000081041	CXCL2	CXCL2
ENSG00000206047	defensin alpha 1	DEFA1
ENSG00000240247	defensin alpha 1B	DEFA1B
ENSG00000239839	defensin alpha 3	DEFA3
ENSG00000164821	defensin alpha 4	DEFA4
ENSG00000197561	elastase, neutrophil expressed	ELANE
ENSG00000203747	CD16 / FCGR3A	FCGR3A
ENSG00000136634	IL-10	IL10
ENSG00000012223	Lactoferrin/ tf	LTF
ENSG00000196549	CD10 / MME	MME
ENSG00000118113	MMP-8	MMP8
ENSG00000100985	MMP-9	MMP9
ENSG00000005381	MPO	MPO
ENSG00000149516	membrane spanning 4−domains A3	MS4A3
ENSG00000173391	Lox-1	OLR1
ENSG00000109819	PGC-1	PPARGC1A
ENSG00000196415	proteinase 3	PRTN3
ENSG00000188404	CD62L / SELL selectin L	SELL
ENSG00000113520	IL-4	IL4
ENSG00000164400	GM-CSF	CSF2
